"","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts"
"823","2/28/1997","34-011","CHI","SAC","W (+18)","35:00:00",13,20,0.65,5,7,0.714,4,5,0.8,1,8,9,6,1,1,2,35
"813","2/4/1997","33-353","CHI","POR","W (+4)","41:00:00",15,30,0.5,1,4,0.25,5,5,1,1,4,5,2,1,2,0,36
"826","3/7/1997","34-018","CHI","IND","W (+8)","44:00:00",11,21,0.524,1,3,0.333,15,17,0.882,1,3,4,5,2,1,4,38
"951","12/14/2001","38-300","WAS","NYK","W (+16)","34:00:00",8,19,0.421,0,1,0,3,3,1,0,6,6,6,1,2,5,19
"346","11/3/1989","26-259","CHI","CLE","W (+5)","47:00:00",19,31,0.613,1,2,0.5,15,17,0.882,3,11,14,6,3,1,0,54
"211","1/5/1988","24-322","CHI","IND","W (+16)","38:00:00",12,20,0.6,0,0,NA,7,8,0.875,6,5,11,9,4,5,2,31
"601","11/28/1992","29-285","CHI","NYK","L (-37)","38:00:00",4,20,0.2,0,1,0,9,9,1,3,3,6,4,1,0,0,17
"306","2/2/1989","25-351","CHI","SAC","W (+11)","40:00:00",15,21,0.714,0,0,NA,10,12,0.833,1,6,7,8,4,0,6,40
"564","2/25/1992","29-008","CHI","DET","L (-2)","42:00:00",11,22,0.5,0,0,NA,1,3,0.333,1,3,4,6,4,1,1,23
"648","3/15/1993","30-026","CHI","LAC","W (+7)","38:00:00",10,22,0.455,0,1,0,3,4,0.75,3,6,9,4,4,0,7,23
"734","2/16/1996","32-364","CHI","MIN","W (+3)","38:00:00",13,23,0.565,4,4,1,5,5,1,1,6,7,4,0,1,2,35
"886","1/15/1998","34-332","CHI","PHI","L (-10)","38:00:00",9,23,0.391,0,1,0,2,4,0.5,2,7,9,4,2,0,4,20
"385","1/23/1990","26-340","CHI","DET","L (-12)","45:00:00",11,31,0.355,1,6,0.167,9,11,0.818,2,4,6,2,2,1,4,32
